Id,Long,Lat,Depth
1,114.936,-3.44213,1.5
2,114.934,-3.42778,1.5
3,114.96,-3.42494,1.5
4,114.96,-3.42494,1.5
5,114.895,-3.40784,2.5
6,114.913,-3.40475,2.5
7,114.855,-3.40427,2.5
8,114.878,-3.39328,2.5
9,114.881,-3.38959,2.5
10,114.903,-3.38851,2.5
11,114.876,-3.38838,2.5
12,114.885,-3.38804,2.5
13,114.873,-3.38627,2.5
14,114.891,-3.38595,2.5
15,114.86,-3.38402,2.5
16,114.877,-3.38178,2.5
17,114.869,-3.3817,2.5
18,114.846,-3.38072,2.5
19,114.891,-3.3786,2.5
20,114.879,-3.37708,2.5
21,114.872,-3.37657,2.5
22,114.951,-3.37648,1.5
23,114.859,-3.37527,2.5
24,114.897,-3.37489,2.5
25,114.864,-3.3739,2.5
26,114.884,-3.37341,2.5
27,114.868,-3.37261,2.5
28,114.903,-3.36887,2.5
29,114.853,-3.3653,2.5
30,114.865,-3.36199,2.5
31,114.881,-3.35836,2.5
32,114.845,-3.35194,2.5
33,114.901,-3.35158,1.5
34,114.854,-3.34956,2.5
35,114.86,-3.34608,2.5
36,114.854,-3.34333,2.5
37,114.898,-3.32482,1.5
38,114.842,-3.30066,2.5
39,114.994,-3.29939,2.5
40,114.972,-3.28773,2.5
